# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:43 BST 2015 [seed=1430153561778]
state	age(DUCK_GUANGZHOU_20_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1851000	0.04989892875414359	-4648.764304880342	-280.39341789045363	-4368.370886989888	8.290212230473879	17.45067600277832	5.589749752072338	2.781068602859734	0.4555483362989166	0.013039448408835079	4.0	7.0	5.0	3.0	1.0	7.594175629891421	0.6344388099433722	0.4993089103406462	1.8662522797159775	0.005062476628209688	-1233.8302781243824	-1192.8866837374974	-1941.6539251280085	-39.420979776194734
1852000	0.08741401211523225	-4654.575182592802	-283.0502978113968	-4371.5248847814055	8.326128667817162	11.612166266082921	4.225575426898567	4.147460013600053	0.3132161348481657	0.40020147130686134	5.0	6.0	5.0	3.0	1.0	8.245698706525488	0.6303062777002197	0.5449918356507722	1.8247018866490037	0.005547642479722351	-1237.6318974201638	-1193.9694579884522	-1939.92352937279	-41.376557946448536
1853000	0.2125663969669378	-4651.462215725119	-282.2073629377761	-4369.254852787342	8.221383970976131	16.73856674820638	6.815830010846259	2.479197972868357	0.48384599541851486	0.24967575205807155	2.0	7.0	5.0	3.0	3.0	8.727167923015498	0.6266122142480355	0.5651882165662937	1.8081995691856667	0.004820167332161227	-1231.128656331887	-1188.3170750687682	-1949.809121386687	-40.563667668791105
1854000	0.3006801810312989	-4658.992914695077	-289.8341673918137	-4369.158747303263	8.431124483153342	21.39608936997449	6.370495715430834	2.979569638122365	3.8696117410457584	0.24249752126350219	1.0	7.0	7.0	1.0	4.0	7.980601843246948	0.6535237965439349	0.6069037121712412	1.73957249128482	0.00508842051786217	-1236.0263186018549	-1194.4655305499048	-1938.6668981515036	-44.94878040251617
1855000	0.17331789497094974	-4665.160553736166	-295.499789408881	-4369.660764327285	8.966366903021243	19.12354999859693	26.665463166703212	6.635034418376298	1.0982707281860207	1.2651490633852713	1.0	6.0	6.0	1.0	6.0	8.686085125015236	0.5968100569266235	0.45634383314142507	1.9468461099319476	0.004370109790067478	-1235.798607549336	-1195.3696943118832	-1938.492462466065	-48.947570936793056
1856000	0.39861748111298967	-4670.375164336364	-306.71072384738795	-4363.664440488976	9.859859548071709	78.18431158313852	32.240513650009085	9.093589038401237	2.311498371657405	0.9204339002315215	2.0	5.0	9.0	2.0	2.0	8.813600206719086	0.5915873320448655	0.5941962860125072	1.8142163819426234	0.004187404605547823	-1232.4528755009294	-1189.7869567085181	-1941.424608279528	-57.69228298843637
1857000	0.09485150307516133	-4668.747437539915	-294.83985735587	-4373.907580184045	10.090608984570423	77.82720331838308	8.344893175789284	9.533179809201044	2.090237677092534	1.1102352682799845	1.0	5.0	4.0	3.0	7.0	8.199160993101845	0.458517214030441	0.5924951233148018	1.9489876626547533	0.003982912294369305	-1238.0617806266168	-1191.5936213135874	-1944.2521782438412	-46.654596222158375
1858000	0.6471515562385732	-4654.086322670047	-289.7450840139588	-4364.341238656088	8.24631107849237	25.959174996226093	12.527620961304537	5.903650570172253	0.8492950472941462	1.0296973136958545	4.0	2.0	7.0	3.0	4.0	9.623676809487971	0.5922105952626074	0.5901551431581339	1.8176342615792547	0.0045214131200190305	-1234.3071946552745	-1192.1055265317036	-1937.9285174691097	-44.259026444864
1859000	0.5393725928297552	-4666.878235011266	-293.6863101794912	-4373.1919248317745	9.256745035603087	63.97330966578218	14.582992454156965	7.213018516570046	4.040934810978536	0.6939392785372075	1.0	4.0	4.0	4.0	7.0	9.924686453080174	0.6146851876342416	0.6473129898861593	1.7380018224795952	0.0046331010187068075	-1235.8169303420655	-1197.5479578036004	-1939.827036686109	-45.30909593919699
1860000	0.24988820526121858	-4666.881632377472	-290.1967889592793	-4376.684843418192	9.277848986056686	32.840062777163155	25.19230433368112	11.717806816044614	2.669142212783805	1.3334907661110185	1.0	2.0	2.0	9.0	6.0	9.924686453080174	0.6146851876342416	0.6264402987827851	1.7588745135829693	0.004312171481055167	-1233.1153639449765	-1197.734634055145	-1945.83484541807	-42.030914842497076
1861000	0.4792217093229556	-4662.921905213966	-294.4771321708094	-4368.444773043157	9.237839904845615	63.04951116995047	9.648450730527342	4.120424350012169	2.7972790870348727	0.9836138245474033	4.0	1.0	9.0	3.0	3.0	9.640648298659885	0.594755048444753	0.7099403412561837	1.695304610299059	0.004468394438746778	-1235.0370999243385	-1194.619379852196	-1938.7882932666216	-47.34279424162073
1862000	0.921681506739711	-4662.174285740889	-289.09585890285723	-4373.078426838032	8.486968859258708	13.335613890558847	13.286820954991907	4.9696692286705435	2.1894200297149498	0.2367449053615614	3.0	1.0	7.0	5.0	4.0	11.680674272972205	0.6184969028319997	0.6067572500532457	1.7747458471147506	0.004596666173741895	-1235.152665394732	-1194.7117102004747	-1943.2140512428252	-44.30571596218736
