# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153533173]
state	age(CHICKEN_HEBEI_326_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
2270000	0.2520897814081234	-4671.800349730101	-305.4826631666394	-4366.317686563461	10.988329753530671	140.05686885790013	114.42998544129837	5.102941749074467	5.503965401053168	1.7096773015002282	1.0	2.0	4.0	7.0	6.0	7.537541684127625	0.5709472345896633	0.5360486708176299	1.893004094592695	0.003367874441794202	-1232.3037443594576	-1193.487963879819	-1940.525978324185	-52.99407870108209
2271000	0.6534693113851802	-4672.578179346025	-306.31906972898855	-4366.259109617036	11.174946109741168	156.39273165240607	23.183135686193907	7.967605102311728	10.989770873373791	1.9498977530181436	2.0	2.0	4.0	3.0	9.0	9.722651104901441	0.5428095909846026	0.6268605987146249	1.8303298103007608	0.0029850810194286246	-1235.3388680980015	-1193.4790319625715	-1937.4412095564626	-54.01693457565594
2272000	0.2939514193986698	-4671.032221792712	-302.68981356492804	-4368.342408227784	11.537255880454195	46.66990325819193	5.23160760805831	6.17154940041551	20.5961427951609	2.040777447356065	2.0	5.0	4.0	2.0	7.0	8.380399878535927	0.669936427236884	0.5053735163960225	1.8246900563670818	0.0029721498655581337	-1237.806176141452	-1192.7755293181929	-1937.76070276814	-51.39131521360406
2273000	0.2009373389064701	-4664.761438572777	-299.8535353092116	-4364.907903263565	12.053496847862544	30.183345647292715	1.3983649532611735	3.9483583408001945	5.2614511931360095	1.5287314395398877	3.0	1.0	7.0	4.0	5.0	8.402594106943992	0.558172395110325	0.5887038711880654	1.8531237337015978	0.0033194371721388467	-1235.2527205964589	-1195.105906256903	-1934.5492764102028	-52.78989193113146
2274000	0.2009373389064701	-4671.018604451281	-299.5703737999366	-4371.448230651345	9.922056854712864	60.737793652360786	3.8528631342426958	5.009653472400016	2.333070091986429	1.8042765651157817	5.0	2.0	8.0	1.0	4.0	8.61623102146098	0.5818297180308807	0.5011667285098779	1.9170035534592298	0.0035044207184907095	-1236.298472330814	-1194.7953908926002	-1940.3543674279306	-52.53497655340001
2275000	1.106263655482635	-4668.151637115207	-296.6278113312233	-4371.523825783984	10.882619741172315	23.2006138959213	3.3815443449273253	6.789051671011867	1.5373237839205727	1.3517714830171053	4.0	4.0	5.0	2.0	5.0	8.640831993011616	0.6068192543626568	0.47190751342259746	1.9212732322147343	0.003360153036400094	-1237.4140888779643	-1198.4717044680413	-1935.6380324379777	-51.10158523471022
2276000	0.9266319388909272	-4664.64022235815	-300.47247704133656	-4364.167745316813	10.592798911176068	54.51504919203254	27.60982495264322	3.56836244001392	5.293077370973533	1.3168360739146323	3.0	1.0	5.0	4.0	7.0	9.298078534948534	0.5580765978530975	0.6443724478089412	1.79755095433795	0.0032761901954307076	-1234.295079211489	-1193.89648175459	-1935.9761843507342	-51.362703445335356
2277000	0.8511753650781342	-4665.11166201961	-296.695001984353	-4368.416660035257	10.636341127383803	66.99091049760918	2.0626796773626745	4.473830917283155	9.1531402343063	0.7626189488223853	3.0	2.0	2.0	6.0	7.0	7.2265999344280365	0.5127167206200689	0.5797162631854686	1.9075670161944511	0.0032001630408245722	-1237.1051127547305	-1194.5368437351026	-1936.7747035454242	-47.284283770875334
2278000	0.17668455825906404	-4670.806429103242	-305.5519322321049	-4365.254496871137	10.730682628895309	35.9478103218138	7.512994155735693	25.916271851105027	3.9152553327683584	0.7176783070564308	2.0	1.0	2.0	9.0	6.0	11.340972342608408	0.5832357421328572	0.5866689138344722	1.8300953440326593	0.003591169294136493	-1235.481616398266	-1193.3094443738323	-1936.4634360990387	-55.07157889335458
2279000	0.17668455825906404	-4662.416611341603	-299.7897259162777	-4362.626885425326	10.741085600243165	29.55970121823641	7.473492145173108	4.15539647157992	6.48019632281581	2.5743861556084178	4.0	1.0	3.0	6.0	6.0	11.124985708258514	0.6165029930384982	0.5795737200320467	1.8039232869294437	0.003572234825485674	-1232.6148949439764	-1193.8503056572297	-1936.16168482412	-52.27909796127413
