# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153530562]
state	age(MALLARD_VIETNAM_16_2003)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1333000	0.8947762883770967	-4644.018817146986	-284.8571339260328	-4359.161683220954	8.54405391760957	18.469352933311338	10.69223178318416	0.5481924412532639	1.4366376995890418	0.5657204909195928	1.0	9.0	1.0	3.0	6.0	10.279519691368218	0.5951547246067449	0.5660103039117718	1.8388349714814796	0.005662649395579999	-1230.9397147250118	-1190.6469080217153	-1937.5750604742273	-40.66090161584093
1334000	0.6220094716795632	-4648.6853938824415	-285.3253012774381	-4363.360092605003	8.501313892476764	77.43889446083331	5.13231091167976	2.3482922046262367	0.5672083040457243	0.25813498063760815	1.0	9.0	3.0	5.0	2.0	10.397011504436481	0.6341690853112534	0.5269959432072633	1.8388349714814796	0.005378965920940986	-1234.4282732185259	-1193.2193393389618	-1935.7124800475153	-40.88361516225871
1335000	0.5192505674120871	-4653.542353786651	-289.81690074264304	-4363.725453044008	8.460680984293335	22.956683174693755	7.508872383009643	3.384523302664891	0.7971387861645415	1.0910699739996028	3.0	11.0	1.0	3.0	2.0	10.707285214039723	0.6224876159068446	0.4982008036825753	1.8793115804105762	0.005691460075879909	-1235.6788012493937	-1191.1393169640346	-1936.9073348305797	-45.52959423580678
1336000	0.8994534606238038	-4645.026352116556	-282.53473726309926	-4362.491614853457	8.296662479474612	11.231132092260879	4.7554531299505705	1.2700598741058033	0.9507542862988182	1.00447141731825	3.0	8.0	6.0	1.0	2.0	9.213923864339701	0.8039308820598912	0.5055445840304937	1.690524533909611	0.006292753158907978	-1236.3898398548527	-1189.6786026074826	-1936.4231723911219	-40.97469549244158
1337000	0.8649093764128493	-4645.883164912307	-286.25748761705535	-4359.625677295251	8.299496896944367	11.095531624831478	8.633786263730633	4.138896715215682	0.46000604723902305	0.9735623767351792	3.0	7.0	2.0	7.0	1.0	9.228684650476332	0.5095942776934578	0.6284245802630538	1.8619811420434844	0.0056136389113963965	-1234.6838389478735	-1188.0525299840415	-1936.8893083633357	-42.67891021137038
1338000	0.41713389677857426	-4649.000349112663	-285.02534606118013	-4363.975003051482	8.299496896944367	24.394849071377124	10.163618458687488	2.514127099195007	0.4878043705687292	0.840275174471398	1.0	9.0	3.0	6.0	1.0	7.136124060657159	0.5924069872247464	0.6366069568222038	1.7709860559530457	0.0056215767439585455	-1227.8569757493858	-1190.9569766656132	-1945.1610506364834	-41.309437320406786
1339000	0.9647492610260571	-4656.365838618955	-281.6207494135586	-4374.745089205397	8.233207552696914	40.52340084991781	5.275039630633431	1.3861380758450481	0.8078012204144468	0.11190461440813489	1.0	9.0	7.0	1.0	2.0	12.242937185931543	0.7630337936341907	0.4017460433314119	1.8352201630343934	0.005480676455383059	-1236.1558754623072	-1193.5854044222062	-1945.0038093208832	-38.563216550964775
1340000	0.7804668512432977	-4640.464660700012	-282.9582289499689	-4357.506431750044	8.253608817388757	13.214949220517124	8.21138270687671	3.2569347520912793	0.10307881741565644	0.04340959406995754	1.0	9.0	8.0	1.0	1.0	9.420110409488071	0.6383418243591904	0.5433440023709208	1.8183141732698844	0.004873631146897514	-1229.0989772198802	-1188.987822647883	-1939.419631882281	-42.80934252101057
1341000	0.9642925613908	-4634.035453745199	-273.97578972152826	-4360.059664023671	8.261931486634836	18.54289289624	3.428300247297431	1.1914579143252297	0.14241413792615074	0.005260628074290516	3.0	6.0	9.0	1.0	1.0	8.303880064904053	0.5880424160304569	0.5433440023709208	1.868613581598618	0.005759992898123448	-1234.6504313044395	-1190.415341156817	-1934.9938915624148	-35.613268931780254
1342000	1.2705171751643298	-4635.679613581478	-278.86305607725336	-4356.816557504225	8.153640289021505	37.62026312226482	6.14721560961528	2.3867359357481206	0.40450886862014257	0.04291849084818319	1.0	7.0	5.0	6.0	1.0	10.336527693488687	0.6084398828527644	0.587205782046978	1.8043543351002533	0.005591347725836947	-1231.2605752606173	-1189.0955031062113	-1936.4604791373965	-36.40568588138497
