# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153532379]
state	age(TREESPARROW_HENAN_2_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
565000	0.4585044073253495	-4667.262603256439	-301.73243303394077	-4365.530170222499	10.5702765197687	42.84496308072368	6.176838854878584	4.868965737856859	1.4239901529669796	0.8965981941892248	5.0	2.0	6.0	1.0	6.0	7.947739447550102	0.5779917492707846	0.6440137710450912	1.7779944796841278	0.0027956469611913146	-1232.865497442351	-1192.250767621848	-1940.4139051582997	-56.27417952342452
566000	1.792528233842488	-4671.300049348903	-308.45858068849753	-4362.841468660405	11.573246369473164	36.33956572433771	55.087590316331564	9.286239699369766	9.034421303470097	3.2022956447956217	3.0	1.0	8.0	1.0	7.0	10.371619225521725	0.6120066956855889	0.4799636498311388	1.9080296544832758	0.003136801858748613	-1232.9472331108568	-1193.8793372112725	-1936.0148983382755	-57.22486191032638
567000	1.9613154858191777	-4668.162470974301	-305.3011952412977	-4362.861275733003	11.216629872783235	38.527483684777174	13.336431832943637	9.608752234589183	17.89150847031309	1.5753631685713418	3.0	1.0	2.0	5.0	9.0	7.259954338702	0.7116368874336562	0.547754616271965	1.740608496294382	0.003070348808840649	-1232.37494677619	-1190.1035350494737	-1940.3827939073394	-55.003373771431754
568000	2.6918787224211016	-4660.657779222827	-296.6382040368809	-4364.019575185946	10.735548364897388	54.532792630520554	7.6737442533728695	8.223666869784413	2.7488491681000102	0.9778537410903342	2.0	1.0	8.0	3.0	6.0	8.71117879742258	0.6290133642655672	0.6362773118292661	1.7347093239051696	0.003177124462743143	-1232.7451126538358	-1189.700992439829	-1941.5734700922815	-49.15910630337812
569000	3.313510009507999	-4666.007349008136	-299.23759423619913	-4366.769754771936	10.975937959172114	35.65345513009259	5.462150650710161	5.5641170933761535	1.3166893108036495	1.8031000793757108	2.0	5.0	7.0	1.0	5.0	10.624781155141775	0.5990328073677191	0.6019207881371667	1.799046404495117	0.0037036076000412964	-1237.3964857606604	-1190.9897495253879	-1938.3835194858875	-53.00097436578746
570000	2.4997185574275216	-4664.823236645432	-296.87488450776385	-4367.948352137669	10.638549062810936	30.27224449438129	7.3327247088264444	4.113131710486325	1.1200331590006503	1.4829788563371236	1.0	2.0	10.0	5.0	2.0	9.466076923432151	0.6905329150191589	0.5155012339195706	1.7939658510612735	0.0036023486303389217	-1235.6405391965768	-1190.0858056737939	-1942.2220072672978	-51.62879806615116
571000	1.4137681308416798	-4670.533220014449	-304.4188724088644	-4366.114347605585	10.08189404407857	69.96005718843793	125.53335773090241	2.4765107305273033	3.586396828184943	1.0446781510258825	4.0	1.0	7.0	1.0	7.0	9.640770217589477	0.7359875089762756	0.5321583970357288	1.7318540939879987	0.0038958109798576516	-1236.0064176648596	-1192.2885266014478	-1937.8194033392774	-52.828403214502295
572000	1.7201214779028406	-4662.712603317905	-295.31003418404686	-4367.4025691338575	10.038550050454964	25.160378670928512	25.214419407879383	8.7187965439075	1.5740693552547809	0.8048634621527739	4.0	1.0	6.0	2.0	7.0	8.714686142962668	0.5338985475412084	0.482182604911878	1.9839188475469167	0.0042161730649684275	-1234.278416907706	-1192.3957095595028	-1940.7284426666479	-48.54961480128089
573000	1.3619906964534314	-4671.058545348491	-298.66838511299517	-4372.390160235495	10.665049657448376	12.638364463463438	13.975988965506607	11.061031349651227	2.6491525153287196	0.9525098144506826	2.0	2.0	2.0	8.0	6.0	7.737102905253548	0.5525254473618	0.6105702378840485	1.8369043147541546	0.004160753842622801	-1233.7121422353391	-1195.1934833680775	-1943.484534632079	-52.779040404172484
574000	1.7851811993332922	-4663.151844162369	-295.436466354947	-4367.715377807423	9.480127035230769	39.50180782454415	6.167537345968945	17.692897738075825	2.2253630069316306	0.6157383649703125	4.0	1.0	1.0	10.0	4.0	8.547659801387553	0.5840870225465898	0.5408117500503997	1.8751012274030134	0.004150661843238677	-1235.8318627047859	-1194.5901587307023	-1937.2933563719346	-46.75990871333931
