# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:10 BST 2015 [seed=1430153528940]
state	age(PEREGRINEFALCON_HK_D0028_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
1864000	0.9067870388963355	-4671.5531074857345	-301.46181692253435	-4370.0912905632	11.153861200363202	73.73737008217232	15.14095805432917	8.214565705032067	3.69130636894427	2.759229191695211	1.0	4.0	7.0	2.0	6.0	7.7011967375042945	0.6773471132754524	0.5919755625035545	1.7306773242209814	0.003488248194245572	-1235.990375159798	-1193.559512764495	-1940.541402638907	-52.48688888067579
1865000	2.193681210444634	-4661.560925005399	-296.13037965889885	-4365.4305453465	10.385850846491135	22.48465108217135	12.513843760336814	6.619280909761122	4.743503300881203	1.5556319141529935	1.0	3.0	6.0	3.0	7.0	8.297873244834879	0.6936986047681746	0.6230645735071798	1.683236821724634	0.0040086325157788075	-1231.5500920881918	-1191.5472760478929	-1942.3331772104154	-49.426530801834446
1866000	1.9524184027574445	-4665.861968071443	-301.5044561770315	-4364.357511894411	10.75358111689928	30.052871934620804	7.605322599217608	14.692690685564637	8.05974672856663	2.7001147878091136	1.0	1.0	6.0	3.0	9.0	8.885036970556632	0.6522609944173741	0.47287607805171283	1.8748629275309014	0.003759961873541719	-1233.0268716625278	-1194.718390318933	-1936.6122499129501	-52.384053433027255
1867000	1.6644151113669805	-4660.883948546963	-298.3845211848585	-4362.499427362105	10.534185314779545	42.67377734095946	14.263914614294693	10.786289460495	3.7155974999493107	0.7756342266899993	3.0	2.0	6.0	2.0	7.0	7.543399721958213	0.6032629693372167	0.6282194012570291	1.7685176294057428	0.003702856697136239	-1234.7471288179288	-1193.650362730287	-1934.1019358138894	-50.605947472530154
1868000	1.6785313546402647	-4667.621313773734	-302.20802096607747	-4365.413292807657	10.302287723793244	30.59757540413598	30.7825520047527	3.0114870584566664	2.897055366766124	2.9739945265156384	2.0	3.0	4.0	3.0	8.0	10.158862813229085	0.6792695955516719	0.5287771159681457	1.7919532884801712	0.0032370932777227566	-1236.4942870397308	-1194.5417183498903	-1934.377287418036	-54.10381100372093
1869000	1.9279854155748248	-4663.530425903551	-297.9842817216268	-4365.546144181924	9.334401903999277	57.996530198211886	47.20334665293132	5.122349262070117	10.59237684746968	0.9481671418701035	1.0	2.0	7.0	3.0	7.0	7.694599654567724	0.5998342101322458	0.6103009753472076	1.7898648145205354	0.0036599036209561484	-1235.159610151791	-1190.771808642698	-1939.614725387435	-46.63646973451997
1870000	2.215289904271209	-4660.478611966081	-296.37251713279613	-4364.106094833285	10.219358827519113	74.4348223993683	15.490239045242006	3.4078189938981884	3.628020417214252	0.85988718679261	1.0	3.0	5.0	4.0	7.0	10.921106671673355	0.49672990974751396	0.6551835195303473	1.8480865707221275	0.0035403513577706228	-1233.886285467445	-1192.4147700859965	-1937.805039279844	-48.118761164581684
1871000	2.065498872537113	-4661.718125098147	-297.0183838459745	-4364.699741252172	10.163350303669489	66.24638931845813	16.23587884802772	5.734775259719066	2.5524366873024955	0.9657102965096038	1.0	4.0	5.0	4.0	6.0	7.406177884218714	0.580802871061252	0.5891234311124645	1.8300736978262722	0.0036716029889841653	-1232.7701803519249	-1191.3982107374993	-1940.531350162748	-49.478249245859494
1872000	1.392702262403231	-4664.112052113231	-300.6450260044351	-4363.467026108796	10.482248107268651	41.88123977236342	12.480766028376683	11.245667271855522	1.8121691909723145	1.1104643868429833	1.0	8.0	1.0	5.0	5.0	7.43177057973088	0.5849100591804214	0.5057228801640254	1.9093670606555415	0.0035125315197392223	-1234.108485818958	-1192.1186946383768	-1937.239845651461	-53.399411173518125
1873000	1.2067740417286181	-4660.263902970275	-295.8592014896162	-4364.404701480659	10.350309441437366	16.067393361858798	3.770294553429367	2.3254852322166477	1.7217319669511497	0.8989843406580922	3.0	7.0	3.0	3.0	4.0	9.801416647745524	0.5735659835218603	0.5478486584057043	1.8785853580724239	0.004163532446226683	-1235.2675405382986	-1192.614028469428	-1936.523132472933	-52.936207427320525
